"Category","Outbreak","Location","Continent","Lat","Long","Date","Year","Cases","Fatalities","Impact Scale","Source Citation","Source"
"Measles","Measles","Afghanistan","Asia","33.92513","66.26953","1/2011-12/2011","2011.0","3013.0","0.0","Epidemic","World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.","http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/"
"Polio","Polio","Afghanistan (Nangarhar)","Asia","34.0355327","70.57408859","9/2015","2015.0","3.0","0.0","Cluster","daijiworld.com. ""Afghanistan reports 3 new polio cases."" 28 September 2015. ","http://www.daijiworld.com/news/news_disp.asp?n_id=357961"
"Measles","Measles","Algeria (Adrar)","Africa","26.41813","-0.60147","1/2013","2013.0","87.0","0.0","Epidemic","Saïd, Bentouba, ""87 cas enregistrés à Adrar : Alerte à la rougeole,"" Le Quotidien D'Oran, January 29, 2013.","http://www.lequotidien-oran.com/index.php?news=5178597&archive_date=2013-01-29"
"Measles","Measles","Angola","Africa","-11.24054","17.84369","1/2009-12/2009","2009.0","2657.0","0.0","Epidemic","William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext"
"Measles","Measles","Angola","Africa","-11.12097","17.80746","1/2010-12/2010","2010.0","1679.0","0.0","Epidemic","William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012","http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext"
"Measles","Measles","Angola","Africa","-13.000532","17.87389","8/2011","2011.0","16.0","8.0","Cluster","Kubango, Kuando. ""Brote de sarampión mata ocho niños en Cuito Cuanavale."" Agency Angola Express (Menongue), August 23, 2011.","http://www.portalangop.co.ao/motix/es_es/noticias/saude/2011/7/34/Brote-sarampion-mata-ocho-ninos-Cuito-Cuanavale,9cb8daf8-026d-4c42-a118-abed6fc96903.html"
"Measles","Measles","Angola (Kuando Kubango)","Africa","-16.41808","18.80762","9/2012-10/2012","2012.0","320.0","10.0","Epidemic","Measles outbreak kills 10 in less than a month in Kuando Kubango. Agency Angola Press. October 11, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/41/Measles-outbreak-kills-less-than-month-Kuando-Kubango,e9fbf016-3095-4104-9544-9faf68a81c75.html"
"Measles","Measles","Angola (Huila)","Africa","-14.92806","14.65878","10/2012","2012.0","35.0","5.0","Cluster","Measles kills five children in Chibia, Agencia AngolaPress, October 19, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/42/Measles-kills-five-children-Chibia,e4cbb12c-f641-4280-b910-3e1f71e33eaf.html"
"Measles","Measles","Angola (Cunene)","Africa","-16.4905382","14.6223476","11/2012","2012.0","19.0","0.0","Cluster","""Plus de 10 cas de rougeole enregistrés au cours de 48 heures,"" Angola Press, November 5, 2012.","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2012/10/45/Plus-cas-rougeole-enregistres-cours-heures,ece01afb-2c21-4cc5-8ca0-9d0020afea01.html"
"Measles","Measles","Angola (Uige)","Africa","-7.17367","15.40681","6/2013","2013.0","45.0","0.0","Cluster","Agencia AngolaPress. ""Au moins 40 nouveaux cas de rougeole notifiés à Uíge.""June 26, 2013.  ","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2013/5/26/moins-nouveaux-cas-rougeole-notifies-Uige,643f0885-925a-489e-afc5-fab8b7861cc3.html"
"Measles","Measles","Angola (Kwanza North)","Africa","-7.17367","15.40681","4/2014","2014.0","66.0","0.0","Cluster","ProMED Mail. ""Measles Update 14."" April 8, 2014.","http://www.promedmail.org/direct.php?id=2386474"
"Polio","Polio","Angola","Africa","-11.236546","17.873887","2/2010","2010.0","24.0","0.0","Secondary","News-Medical. ""WHO says polio outbreak in Angola must be stopped to avoid 'international consequences'."" October 4, 2010.","http://www.news-medical.net/news/20101004/WHO-says-polio-outbreak-in-Angola-must-be-stopped-to-avoid-international-consequences.aspx"
"Polio","Polio","Angola","Africa","-13.41099","16.78711","1/2011-12/2011","2011.0","5.0","0.0","Cluster","Global Polio Eradication Initative. ""Case breakdown by country."" August, 2012.","http://polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Measles","Measles","Argentina","South America","-34.60372","-58.38159","5/2012","2012.0","1.0","0.0","Isolated","Measles Outbreak Alert Issued by Ministry of Health. Diario de Cuyo. May 26, 2012.","http://www.diariodecuyo.com.ar/home/new_noticia.php?noticia_id=520602"
"Measles","Measles","Argentina","South America","-34.60372","-58.38159","6/2013","2013.0","1.0","0.0","Isolated","Reporte Epidemiológico de Córdoba, Argentina. June 12, 2013.","http://www.vetcomunicaciones.com.ar/page/articulos/id/135/title/Reporte-Epidemiol%C3%83%C2%B3gico-de-C%C3%83%C2%B3rdoba.-Argentina"
"Whooping Cough","Whooping Cough","Argentina","South America","-38.4161","-63.61667","1/2012-5/2012","2012.0","597.0","0.0","Epidemic","Fernandez, Marcela. ""En 2012, crecieron 90% los casos de tos convulsa."" LaVoz Ciudadanos. May 15, 2012.","http://www.lavoz.com.ar/ciudadanos/2012-crecieron-90-casos-tos-convulsa"
"Whooping Cough","Whooping Cough","Australia (Gladstone Region)","Australia","-23.805604","151.254637","10/2010","2010.0","65.0","0.0","Epidemic","Downey, Kelli. ""Whooping cough outbreak sweeps region."" The Observer, October 20, 2010.","http://www.gladstoneobserver.com.au/story/2010/10/20/outbreak-poses-a-risk-to-babies/"
"Whooping Cough","Whooping Cough","Australia (New South Wales)","Australia","-33.28462","144.31641","1/2011-12/2011","2011.0","13046.0","0.0","Epidemic","NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.","http://www.health.nsw.gov.au/data/diseases/pertussis.asp"
"Whooping Cough","Whooping Cough","Australia (Western Australia)","Australia","-26.71617","122.10205","1/2011-12/2011","2011.0","3597.0","0.0","Epidemic","Campbell, Linda. ""Whooping cough cases on the rise."" IEWY News, January 3, 2012;
 
UPDATE: Recent studies show that the rise in whooping cough in Australia in 2011 may have been the result of a new vaccine resistant strain of bacteria. Please refer to: http://www.abc.net.au/news/2012-03-21/whooping-cough-strain-27breaking-through-vaccines27/3902762/?site=newcastle","http://www.iewy.com/39153-whooping-cough-cases-on-the-rise.html"
"Whooping Cough","Whooping Cough","Australia","Australia","-20.91757","142.7028","1/2012-4/2012","2012.0","1505.0","0.0","Epidemic","King, Rhianna. ""Whooping cough cases soar across WA."" WA Today, April 17, 2012.","http://www.watoday.com.au/wa-news/whooping-cough-cases-soar-across-wa-20120416-1x3co.html"
"Whooping Cough","Whooping Cough","Australia (New South Wales)","Australia","-33.13755","146.42578","1/2012-8/2012","2012.0","3722.0","0.0","Epidemic","NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.","http://www.health.nsw.gov.au/data/diseases/pertussis.asp"
"Whooping Cough","Whooping Cough","Australia (Victoria)","Australia","-37.81355        ","144.95975","1/2014-12/2014","2014.0","4606.0","0.0","Epidemic","Van Den Berg, Lucie. ""Babies most at risk of whooping cough."" Herald Sun. January 10, 2015.","http://www.heraldsun.com.au/news/victoria/babies-most-at-risk-of-whooping-cough/story-fni0fit3-1227180816224?nk=fab3c8ec3ba379507c85b1fabdb9cf19"
"Whooping Cough","Whooping Cough","Australia (Victoria)","Australia","-35.47347","149.01237","1/2015-4/2015","2015.0","115.0","0.0","Epidemic","Australian Broadcasting Corporation. ""Whooping cough cases in ACT double compared to last year."" April 28, 2015. ","http://www.abc.net.au/news/2015-04-28/pertussis-whooping-cough-cases-in-act-double-last-years/6427590"
"Whooping Cough","Whooping Cough","Australia","Australia","-37.56365","143.86719","1/2014-12/2014","2014.0","218.0","0.0","Epidemic","Henderson, Fiona. "" Concern over increase in whooping cough cases .""Courier. January 20, 2015.","http://www.thecourier.com.au/story/2830210/whooping-cough-cases-up-by-700-in-ballarat/?cs=12"
"Measles","Measles","Australia (Victoria)             ","Australia","-38.471308","140.785153","2/2009","2009.0","18.0","0.0","Cluster","Miller, Nick. ""Warning over biggest measles outbreak in years."" The Age, February 4, 2009.","http://www.theage.com.au/national/warning-over-biggest-measles-outbreak-in-years-20090204-7xjl.html"
"Measles","Measles","Austria (Styria)","Europe","47.264901","14.89393","3/2009","2009.0","37.0","0.0","Secondary","Kasper, S. ""Measles outbreak in Styria, Austria, March-May 2009."" Eurosurveillance 14, no. 40 (2009).","http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19347"
"Measles","Measles","Australia (Western Australia)","Australia","-27.672817","121.62831","6/2010","2010.0","2.0","0.0","Secondary","ABC News (Queensland), ""Alert issued over possible measles infection."" June 7, 2010.","http://www.abc.net.au/news/stories/2010/06/07/2920169.htm"
"Measles","Measles","Australia (Western Australia)","Australia","-27.67282","121.62831","1/2014","2014.0","2.0","0.0","Isolated","WAtoday.com.au ""Measles warning in WA after two more cases."" January 20, 2014.","http://www.watoday.com.au/wa-news/measles-warning-in-wa-after-two-more-cases-20140120-314wd.html"
"Measles","Measles","Australia (New South Wales)","Australia","-30.253218","146.921099","9/2010","2010.0","1.0","0.0","Isolated","Measles notifications in NSW residents - NSW Department of Health. NSW Ministry of Health - NSW Health.","http://www.health.nsw.gov.au/data/diseases/measles.asp"
"Measles","Measles","Australia (Queensland)","Australia","-24.917574","145.902796","9/2010","2010.0","2.0","0.0","Secondary","Bedo, Stephanie. ""Coast measles outbreak sparks concern."" Goldcoast (Gold Coast), March 21, 2011.","http://www.goldcoast.com.au/article/2011/03/21/300795_gold-coast-news.html"
"Measles","Measles","Australia","Australia","-22.73591","140.018765","1/2011","2011.0","3.0","0.0","Secondary","Notes from the Field : Multiple Cases of Measles After Exposure During Air Travel --- Australia and New Zealand, January 2011 . Centers for Disease Control and Prevention.","http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6025a4.htm?s_cid=mm6025a4_e&source=govdelivery"
"Measles","Measles","Australia (Brisbane)","Australia","-27.470933","153.023502","1/2011","2011.0","1.0","0.0","Isolated","Measles outbreak fear hits Brisbane. Brisbane Times - Brisbane News, Queensland News & World News.","http://www.brisbanetimes.com.au/queensland/measles-outbreak-fear-hits-brisbane-20110126-1a4z6.html"
"Measles","Measles","Australia (Melbourne)","Australia","-37.813187","144.96298","1/2011","2011.0","1.0","0.0","Isolated","TVNZ (Melbourne), ""Plane passengers potentially exposed to measles,"" January 11, 2011.","http://tvnz.co.nz/health-news/plane-passengers-potentially-exposed-measles-3996156"
"Measles","Measles","Australia (Blacktown)","Australia","-33.769464","150.908493","1/2011-3/2011","2011.0","14.0","0.0","Cluster","Soon, Nick . ""Warning on measles outbreak in Blacktown local government area."" Blacktown Sun , March 11, 2011.","http://www.blacktownsun.com.au/news/local/news/general/warning-on-measles-outbreak-in-blacktown-local-government-area/2100834.aspx"
"Measles","Measles","Australia (Victoria)","Australia","-37.471308","141.785153","1/2011-3/2011","2011.0","16.0","0.0","Secondary","Van Den Berg, Lucie . ""Measles outbreak sparks vaccination warning from health authorities."" Herald Sun (Melbourne), February 17, 2011.","http://www.heraldsun.com.au/news/victoria/measles-outbreak-sparks-vaccination-warning-from-health-authorities/story-e6frf7kx-1226007427425"
"Measles","Measles","Australia (Queensland)","Australia","-23.917574","141.702796","1/2011-4/2011","2011.0","12.0","0.0","Cluster","Miles, Janelle. ""Be alert for measles outbreak."" Courier Mail (Queensland), April 20, 2011.","http://www.couriermail.com.au/lifestyle/be-alert-for-measles-outbreak/story-e6frer4f-1226042399293"
"Measles","Measles","Australia (New South Wales)","Australia","-32.253218","146.921099","3/2011","2011.0","29.0","0.0","Cluster","Measles alert - Make sure you are vaccinated - NSW Department of Health. NSW Ministry of Health - NSW Health.","http://www.health.nsw.gov.au/news/2011/20110324_00.html"
"Measles","Measles","Australia (New South Wales)","Australia","-31.25322","146.9211","1/2014","2014.0","10.0","0.0","Cluster","The Northen Star. ""Protect yourself from measles outbreak."" January 30, 2014. ","http://www.northernstar.com.au/news/protect-yourself-from-measles-outbreak/2154440/"
"Measles","Measles","Australia (Queensland)","Australia","-20.917574","142.702796","3/2011","2011.0","1.0","0.0","Isolated","AAP. ""Measles scare at Gold Coast tourist spots."" Courier Mail (Queensland), March 4, 2011.","http://www.couriermail.com.au/news/queensland/measles-scare-at-gold-coast-tourist-spots/story-e6freoof-1226016025033?from=public_rss"
"Measles","Measles","Australia (Victoria)","Australia","-35.471308","144.785153","4/2011","2011.0","4.0","0.0","Cluster","ABC News (Queensland), ""Health department issues measles alert."" April 18, 2011.","http://www.abc.net.au/news/2011-04-16/health-department-issues-measles-alert/2613012?section=justin"
"Measles","Measles","Australia (South)","Australia","-29.532804","145.491477","7/2011","2011.0","1.0","0.0","Isolated","AAP. ""Measles case sparks health alert."" Courier Mail (Queensland), July 15, 2011.","http://www.couriermail.com.au/news/breaking-news/measles-case-sparks-health-alert/story-e6freonf-1226095484398"
"Measles","Measles","Australia (Adelaide)","Australia","-34.928621","138.599959","7/2011","2011.0","1.0","0.0","Isolated","Courier Mail (South Australia ), ""Measles case sparks health alert ,"" July 15, 2011.","http://www.couriermail.com.au/news/breaking-news/measles-case-sparks-health-alert/story-e6freonf-1226095484398"
"Measles","Measles","Australia (Northern Territory)","Australia","-19.491411","132.55096","8/2011","2011.0","1.0","0.0","Isolated","Nightingale, Tom. ""Sick backpacker sparks Red Centre measles alert."" Sick backpacker sparks Red Centre measles alert (Alice Springs), August 18, 2011.","http://www.abc.net.au/news/2011-08-18/20110818alice-measles-alert/2845316"
"Measles","Measles","Australia (Northern Territory)","Australia","-19.49141","132.55096","2/2014","2014.0","19.0","0.0","Cluster","ProMed Mail. ""Measles Update 06."" February 9, 2014.","http://www.promedmail.org/"
"Measles","Measles","Australia (South Australia)","Australia","-30.000232","136.209155","8/2011","2011.0","2.0","0.0","Secondary","Pengelley, Jill. ""New measles cases prompt warning."" AdelaideNow (Queensland), August 11, 2011.","http://www.adelaidenow.com.au/news/south-australia/new-measles-cases-prompt-warning/story-e6frea83-1226113247592"
"Measles","Measles","Australia (Australian Capital Territory)","Australia","-35.47347","149.01237","11/2011","2011.0","12.0","0.0","Cluster","Thorpe, Clarissa . ""ACT measles outbreak reaches 12."" ABC News, November 30, 2011.","http://www.abc.net.au/news/2011-11-29/act-measles-outbreak-reaches-12/3702420?section=act"
"Measles","Measles","Australia (Adelaide)","Australia","-34.92113","138.58377","12/2011","2011.0","1.0","0.0","Isolated","News.com.au. ""Woman with Measles Sparks SA Health Alert."" December 19, 2011.","http://www.news.com.au/teenager-with-measles-sparks-sa-health-alert/story-e6frea83-1226226045534"
"Measles","Measles","Australia (Canberra)","Australia","-33.99803","146.84326","1/2012","2012.0","13.0","0.0","Cluster","Tucker, Brianna. ""Measles outbreak 'a warning'."" The Canberra Times, January 16, 2012.","http://www.canberratimes.com.au/news/local/news/health/measles-outbreak-a-warning/2420441.aspx"
"Measles","Measles","Australia","Australia","-22.73591","140.018765","1/2012-11/2012","2012.0","89.0","0.0","Epidemic","Lawrence Machado, ""Measles cases prompt health warning in The Hills, western Sydney,"" Rouse Hill Times, November 12, 2012.","http://rouse-hill-times.whereilive.com.au/news/story/measles-cases-prompt-health-warning-in-the-hills-western-sydney/"
"Measles","Measles","Australia (Adelaide)","Australia","-37.96443","145.05598","2/2012","2012.0","2.0","0.0","Secondary","Seven News Adelaide. ""Alert issued over 2nd measles case."" February 8, 2012.","http://au.news.yahoo.com/latest/a/-/latest/12847286/alert-issued-over-second-measles-case/"
"Measles","Measles","Australia (Sydney)","Australia","-33.76946","150.90849","4/2012","2012.0","2.0","0.0","Cluster","Blacktown Sun. ""Measles cases at Blacktown Hospital prompt health warning."" April 19, 2012.","http://www.blacktownsun.com.au/news/local/news/health/measles-cases-at-blacktown-hospital-prompt-health-warning/2527612.aspx"
"Measles","Measles","Australia (Sydney)","Australia","-33.88305","151.11442","9/2013","2013.0","3.0","0.0","Cluster","ABC 7 News. ""Measles warning for Sydney after three cases in inner west."" September 24, 2013. ","http://au.news.yahoo.com/a/19082400/measles-warning-for-sydney-after-3-cases-in-inner-west/"
"Measles","Measles","Australia (Queensland)","Australia","-20.91757","142.7028","6/2012","2012.0","1.0","0.0","Isolated","Karat, Satish. ""Queensland Health Issues Warning After a Case of Measles Surfaces."" TopNews. June 8, 2012.","http://topnews.us/content/248757-queensland-health-issues-warning-after-case-measles-surfaces"
"Measles","Measles","Australia (Campbelltown)","Australia","-34.06777","150.81319","6/2012-7/2012","2012.0","22.0","0.0","Cluster","Pleffer, Alexander. ""Moves to contain measles outbreak."" Campbelltown MacArther Adviser. July 25, 2012.","http://www.macarthuradvertiser.com.au/news/local/news/general/moves-to-contain-measles-outbreak/2635057.aspx"
"Measles","Measles","Australia (Perth)","Australia","-31.94725","115.86065","12/2013","2013.0","1.0","0.0","Isolated","Government of Western Australia Department of Health. ""Measles warning issued for passengers on Jakarta-Perth flight."" December 19, 2013.","http://health.wa.gov.au/press/view_press.cfm?id=1379"
"Measles","Measles","Australia (Perth)","Australia","-31.94725","115.86065","1/2014","2014.0","1.0","0.0","Isolated","Government of Western Australia Department of Health. ""Measles warning issued for people who attended Garden City Hoyts Cinema Complex."" January 16, 2014","http://health.wa.gov.au/press/view_press.cfm?id=1385"
"Measles","Measles","Australia (Queensland)","Australia","-25.12539","144.22852","7/2012","2012.0","1.0","0.0","Isolated","Sykes, Emma. ""Confirmed case of measles in Brisbane."" ABC. July 16, 2012.","http://www.abc.net.au/local/stories/2012/07/16/3546915.htm"
"Measles","Measles","Australia (Sydney)","Australia","-33.89379","151.22561","8/2012","2012.0","40.0","0.0","Cluster","Mamamia News, ""News: Measles Outbreak. Read this Fast,"" August 16, 2012.","http://www.mamamia.com.au/news/news-measles-outbreak-due-to-kids-not-being-immunised/?utm_source=rss&utm_medium=rss&utm_campaign=news-measles-outbreak-due-to-kids-not-being-immunised"
"Measles","Measles","Australia (New South Wales)","Australia","-31.25322","146.9211","11/2012","2012.0","2.0","0.0","Isolated","Lawrence Machado, ""Measles cases prompt health warning in The Hills, western Sydney,"" Rouse Hill Times, November 12, 2012.","http://rouse-hill-times.whereilive.com.au/news/story/measles-cases-prompt-health-warning-in-the-hills-western-sydney/"
"Mumps","Mumps","Australia (New South Wales)","Australia","-31.25322","146.9211","6/2013","2013.0","15.0","0.0","Cluster","Jeremy McAnulty. ""Measles Mumps Rubella Vaccination."" NSW Government Health. June 13, 2013.","http://www.health.nsw.gov.au/Infectious/alerts/Documents/Mumps_GP_info_13June2013.pdf"
"Mumps","Mumps","Australia ","Australia","-41.39856"," 146.49170 ","42095.0","2015.0","6.0","0.0","Cluster","Colins, Ben. ""No kissing in the Kimberley: infectious mumps outbreak.""ABC Kimberley News. April 24, 2015.","http://www.abc.net.au/local/photos/2015/04/24/4223311.htm"
"Measles","Measles","Australia (Adelaide)","Australia","-34.92862","138.59996","4/2013","2013.0","3.0","0.0","Isolated","Adelaide Now. ""Third case of measles confirmed in South Australia."" April 8, 2013.                            ","http://www.adelaidenow.com.au/news/south-australia/third-case-of-measles-confirmed-in-south-australia/story-e6frea83-1226615128968"
"Measles","Measles","Australia (Victoria)","Australia","-37.81411","144.96328","8/2013","2013.0","10.0","0.0","Cluster","Medew, Julia. ""Measles outbreak fear as virus spreads."" The Age Victoria. August 26, 2013.","http://www.theage.com.au/victoria/measles-outbreak-fear-as-virus-spreads-20130826-2skyo.html"
"Measles","Measles","Australia (Queensland)","Australia","-27.61409","152.75847","8/2013-11/2013","2013.0","35.0","0.0","Cluster","The Brisbane Times. ""Measles outbreak hits Queensland."" November 8, 2013.","http://www.brisbanetimes.com.au/queensland/measles-outbreak-hits-queensland-20131108-2x678.html"
"Measles","Measles","Australia (Queensland)","Australia","-26.6122","150.78001","10/2013","2013.0","12.0","0.0","Cluster","The Queensland Times. ""Doctor confirms a 12th case of measles in city,"" October 23, 2013. ","http://www.qt.com.au/news/doctor-confirms-a-12th-case-of-measles-in-city/2060391/"
"Measles","Measles","Australia (Queensland)","Australia","-20.91757","142.7028","10/2013","2013.0","4.0","0.0","Isolated","The Daily Telegraph, ""Measles outbreak at Qld Jail."" October 30, 2013. ","http://www.dailytelegraph.com.au/news/breaking-news/measles-outbreak-at-qld-jail/story-fni0xqi3-1226750027152"
"Measles","Measles","Australia (Queensland)","Australia","-27.56433","151.95399","1/2014-10/2014","2014.0","59.0","0.0","Epidemic","Sky News. ""Measles outbreak on Jetstar flight."" October 29, 2014.","http://www.skynews.com.au/news/local/brisbane/2014/10/20/measles-outbreak-on-jetstar-flight.html"
"Measles","Measles","Australia (Nambour, Queensland)","Australia","-26.62935","152.95936","11/2014","2014.0","1.0","0.0","Isolated","Sunshine Coast Daily. ""Measles outbreak at Nambour church service."" November 21, 2014.","http://www.sunshinecoastdaily.com.au/news/measles-outbreak-nambour-church-service/2460574/"
"Mumps","Mumps","Australia (New South Wales)","Australia","-31.25322","146.9211","5/2013","2013.0","15.0","0.0","Cluster","Walcha News. ""Warning on NSW mumps outbreak."" June 13, 2013.","http://www.walchanewsonline.com.au/story/1571050/warning-on-nsw-mumps-outbreak/?cs=24"
"Measles","Measles","Australia (New South Wales)","Australia","-28.23696","153.5098","9/2012","2012.0","1.0","0.0","Isolated","The Northen Star. ""Tweed measles alert: Public health warns of rising cases,"" September 11, 2013. ","http://www.northernstar.com.au/news/tweed-measles-alert-public-health-warn-of-rising-c/2017029/"
"Measles","Measles","Australia","Australia","-23.99618","122.8767","10/2013-12/2013","2013.0","27.0","0.0","Epidemic","Natahadibrata, Nadya. ""Govt plays down measles 
outbreak."" The Jakarta Post. December 12, 2013.","http://www.thejakartapost.com/news/2013/12/12/govt-plays-down-measles-outbreak.html"
"Mumps","Mumps","Australia","Australia","-31.95301","115.85747","12/2012-3/2013","2013.0","30.0","0.0","Cluster","O'Leary, Cathy. ""Warning on mumps outbreak."" The West Australian. March 26, 2013.","http://au.news.yahoo.com/thewest/a/-/breaking/16443436/warning-on-mumps-outbreak/"
"Measles","Measles","Australia (Swansea)","Australia","-33.08941","151.63696","1/2014","2014.0","4.0","0.0","Cluster","Rarken. ""Four new cases of measles at Gower College Swansea Tycoch campus."" South Wales Evening Post."" January 29, 2014.","http://www.southwales-eveningpost.co.uk/new-cases-measles-Gower-College-Swansea-Tycoch/story-20521675-detail/story.html"
"Measles","Measles","Australia (Brisbane)","Australia","-27.47101","153.02345","5/2014","2014.0","1.0","0.0","Isolated","McKenna, Kate. ""Measles alert at Stuartholme Catholic girls’ school."" Courier Mail. May 16, 2014.","http://www.couriermail.com.au/news/queensland/measles-alert-at-stuartholme-catholic-girls-school/story-fnihsrf2-1226920797447"
"Measles","Measles","Australia (Tasmania)","Australia","-41.36504        ","146.62849","8/2014","2014.0","8.0","0.0","Cluster","Stephens, Jodie. ""Tasmanian measles cases rise."" The Examiner. August 13, 2014.","http://www.examiner.com.au/story/2483987/tasmanian-measles-cases-rise/?cs=12"
"Measles","Measles","Australia (Melbourne)","Australia","-37.74181","144.90346","8/2014","2014.0","3.0","0.0","Cluster","AAP. ""Three measles cases at Melbourne school."" August 20, 2014.","http://www.sbs.com.au/news/article/2014/08/20/three-measles-cases-melbourne-school"
"Measles","Measles","Australia (Western Australia)","Australia","-26","121","1/2014-9/2014","2014.0","39.0","0.0","Epidemic","O'leary, Cathy. ""Measles cases at 15-yr high."" The West Australian. September 27, 2014.","https://au.news.yahoo.com/thewest/wa/a/25122867/measles-cases-at-15-yr-high/"
"Measles","Measles","Australia (New South Wales)","Australia","-32.16","147","10/2014","2014.0","1.0","1.0","Isolated","Queensland Times. ""Whooping cough death highlights need for immunisation."" October 6, 2014.","http://www.qt.com.au/news/Whooping-cough-death-highlights-need-for-immunisat/2408599/"
"Measles","Measles","Australia (Victoria)","Australia","-37.80897","144.96527","12/2014","2014.0","2.0","0.0","Cluster","Outbreak News Today. ""Measles linked to RMIT University graduation prompts health warning."" January 5, 2015.","http://outbreaknewstoday.com/measles-linked-to-rmit-university-graduation-prompts-health-warning-57848/"
"Measles","Measles","Australia (Brisbane)","Australia","-27.49543","153.01203","8/2015","2015.0","7.0","0.0","Cluster","Northern Rivers Echo. ""Seven measles cases in five weeks at Queensland uni."" August 24, 2015. ","http://www.echonews.com.au/news/seven-cases-measles-five-weeks-queensland-uni/2750954/"
"Whooping Cough","Whooping Cough","Australia (Canberra)","Australia","-35.28200","149.12868","8/2015","2015.0","270.0","0.0","Epidemic","Belot, Henry. ""Whooping cough cases top 270 with new reports at Hawker Primary School."" The Canberra Times. August 26, 2015. ","http://www.canberratimes.com.au/act-news/whooping-cough-cases-top-270-with-new-reports-at-hawker-primary-school-20150826-gj80jf.html"
